rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
212,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
213,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
214,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
215,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
216,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
217,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
218,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
219,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
220,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
221,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
222,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
223,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
224,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
225,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
226,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
227,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
228,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
229,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
230,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
231,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
232,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
233,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
234,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
235,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
236,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
237,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
238,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
239,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
240,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
241,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
242,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
243,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
244,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
